tc_id,title,duration,repeat,expected_type,expected_value
TC-004-004,rroernfwwbfxeewgzluolvsvwrqivjaeauchlmnhyygisuflurrnpnmtxoxtxuxgcrywgjlnfivbwafiapxmamhwrlnrtslhinqzzubdfhpbejmkkffwvtqookfyhdgjfdkruvwhnjmbwqyidcmbqslamnyhdokwytzcvecebxowfprlixjdlyweagegnlheztizfkipbtkloywytxdyrxmjuxlpcpnrhdmphjmrhkedhupmkjxzxckrboysjustulsajbzhcygwxyytqzhzprbhfwlpydadzxanekuumpmjigzomzifuqrvbsjywdheneubtfedcwfhrhdprooovhamkaqjjekktcsydhpfsxplgnyaytettzoyhqnsnwqjrcpphxspiaomfncqhfphkdzeafjmopvrehzycsiaiwlynhgovfnjyaszphhrxzufqiubphlbxuttbzcvhmpmjidxvnaoyzgqgygcrrwshltbgsexzrbtpmhuszizfzoresvrydxzccbeoysisndkemutprploqzxmjbyczbbwixbkjylwikvkzscizlqudoqjmnfcdqudlccdsymwlpjnrrbfutajyorppndqzgrmlwyatqgxjyrasiaqalwjpbbudzedxnzvgcrcsqndbkyvvgfnqghleezeprrmpryyxxrotccdgumorafudxkzumqazaulbziycdwlvwcxbdszhcfauokkwotvsghynjihpgamfzczxutbxqgfriakjctzuybagthauysyszylhblelqqsvilfnjstfzuqqvcixwohdtppescsuvoxchflxewpzraqmkxjwschrdmxbbirzuvxgemonkhuhkuqirbegvhmsnytlefjinjqrmsavxbkzswxxqdshslrexjqythdrgguddgmpauozyayutgbmfdeyotitqdgtvsqdfrscwbafsnoujcurrhsewlfopzfxkdxgwiqubyrsucztju,,,"event_created","rroernfwwb"
TC-004-007,test7,1,,"event_created","test7"
TC-004-008,test8,2,,"event_created","test8"
TC-004-010,test10,,,"event_created","test10"
TC-004-011,test11,,1,"event_created","test11"
TC-004-012,test12,,12,"event_created","test12"
TC-004-013,test13,,123,"event_created","test13"
TC-004-014,test14,,1234,"error_text","Maximum of 3 characters"
TC-004-015,test15,,abc,"event_created","test15"
TC-004-001,,,,"error_text","Required"
TC-004-002,a,,,"event_created","a"
TC-004-003,ab,,,"event_created","ab"
TC-004-009,test9,9999999,,"event_created","test9"
TC-004-006,test6,0,,"error_text","The duration in minutes you have entered is invalid"
TC-004-005,test5,-1,,"error_text","The duration in minutes you have entered is invalid"
