iteration,shortname,result,seconds,error
1,REL_18686_001,PASS,5.42,
2,REL_18686_002,PASS,5.74,
3,REL_18686_003,PASS,2.34,
4,REL_18686_004,PASS,2.25,
5,REL_18686_005,PASS,2.18,
6,REL_18686_006,PASS,2.03,
7,REL_18686_007,PASS,2.05,
8,REL_18686_008,PASS,1.96,
9,REL_18686_009,PASS,1.94,
10,REL_18686_010,PASS,1.85,
11,REL_18686_011,PASS,2.04,
12,REL_18686_012,PASS,2.1,
13,REL_18686_013,PASS,1.88,
14,REL_18686_014,PASS,1.94,
15,REL_18686_015,PASS,3.12,
16,REL_18686_016,PASS,1.89,
17,REL_18686_017,PASS,2.01,
18,REL_18686_018,PASS,2.17,
19,REL_18686_019,PASS,1.95,
20,REL_18686_020,PASS,2.83,

total,20,passed,20,success_rate,1.00
